equipment_id,name,code,type,zone_id,health_score,status
EQ-WH-5,Warehouse Logistics Valve Block 5,EQ-WH-5,Steam Boiler,Z-8,99.29,OPERATIONAL
EQ-WH-6,Warehouse Logistics Steam Boiler 6,EQ-WH-6,Storage Tank,Z-8,93.99,OPERATIONAL
EQ-UA-1,Utilities Area Conveyor Belt 1,EQ-UA-1,Turbine Generator,Z-9,99.0,OPERATIONAL
EQ-UA-2,Utilities Area Turbine Generator 2,EQ-UA-2,Compressor,Z-9,92.48,OPERATIONAL
EQ-UA-3,Utilities Area Compressor 3,EQ-UA-3,Conveyor Belt,Z-9,90.21,OPERATIONAL
EQ-UA-4,Utilities Area Steam Boiler 4,EQ-UA-4,Steam Boiler,Z-9,90.07,OPERATIONAL
EQ-UA-5,Utilities Area Extractor Fan 5,EQ-UA-5,Steam Boiler,Z-9,90.67,OPERATIONAL
EQ-UA-6,Utilities Area Extractor Fan 6,EQ-UA-6,Conveyor Belt,Z-9,90.71,OPERATIONAL
EQ-UA-7,Utilities Area Steam Boiler 7,EQ-UA-7,Storage Tank,Z-9,96.69,OPERATIONAL
EQ-CR-1,Control Room Hub Preheater 1,EQ-CR-1,Turbine Generator,Z-10,92.43,OPERATIONAL
EQ-CR-2,Control Room Hub Turbine Generator 2,EQ-CR-2,Valve Block,Z-10,91.9,OPERATIONAL
EQ-CR-3,Control Room Hub Compressor 3,EQ-CR-3,Valve Block,Z-10,93.54,OPERATIONAL
EQ-CR-4,Control Room Hub Valve Block 4,EQ-CR-4,Turbine Generator,Z-10,98.64,OPERATIONAL
EQ-CR-5,Control Room Hub Extractor Fan 5,EQ-CR-5,Compressor,Z-10,90.61,OPERATIONAL
